0,1,2,3,4,5
,,Panel de control,Semestral,Revisar termoestatos y contactores ,"•	Equipo de protección 
•	Multimetro
•	Cámara térmica
•	Equipo de calibración
•	Kit de Destornilladores"
,,Panel de control,Anualmente,"Comprobar el estado y la seguridad del cableado y de las conexiones eléctricas en el hardware(Medir tensión, corriente y medir aislamiento)","•	Equipo de protección 
•	Cámara termográfica
•	Equipo de calibración
•	Selladores dieléctricos
•	Kit de Destornilladores
•	Pinzas, Alicates y Tenazas
•	Megóhmetro
•	Multimetro"
,,Sistema de aire secundario,Mensual,Limpieza de malla de ventilador,"•	Equipo de protección 
•	Aspiradora
•	Aire comprimido
•	Kit de limpieza
•	Kit de Destornilladores"
,,Sistema de aire secundario,Semestral,Inspecciones generales de los motores (Verificar temperatura y parámetros eléctricos)  ,"•	Equipo de protección 
•	Osciloscopio
•	Megóhmetro
•	Multimetro
•	Cámara térmica
•	Equipo de calibración
•	Llaves y llaves de tubo
•	Kit de Destornilladores
•	Decibelímetro
•	Extractores de rodamientos y poleas
•	Juntas y selladores"
,,Sistema de aire secundario,Semestral,"Mantenimiento de los rodamientos (Lubricación y si es necesario cambio de rodamientos, sellos, retenedores, O-rings)  ","•	Equipo de protección 
•	Grasa para rodamientos Chevron® SRI NLGI grado 2. o sus equivalentes
•	Kit de limpieza
•	Kit de Destornilladores
•	Cámara termográfica, Equipo de calibración 
•	Extractores de rodamientos"
,,Control de nivel de agua,Diariamente,Purgar el nivel de carga de vapor con la Válvula de purga de nivel,"•	Equipo de protección 
•	Inspección visual
•	Llevar un formato de revisión de rutinas y base de datos"
,,Control de nivel de agua,Mensual,Inspeccion de condición tubo de nivel,"•	Equipo de protección 
•	Inspección visual en busca de daño o desgaste
•	Llevar un formato de revisión de rutinas y base de datos"
,,Control de nivel de agua,Semestral,Limpieza del flotador y Revisar diafragma de flotador ,"•	Equipo de protección 
•	Inspección visual en busca de daños 
•	Kit de Destornilladores 
•	Kit de limpieza
•	Llaves de boca y llaves de cubo"
,,Control de nivel de agua,Anualmente,Desmontar y limpiar columna de Mcdonell,"•	Equipo de protección 
•	Agua a presión
•	Kit de limpieza
•	Selladores y retenedores
•	Llaves de boca y llaves de cubo
•	Espátula"
,,Bomba de aire y sistema de lubricación,Trimestral,Limpieza de Enfriador de aceite lubricante,"•	Equipo de protección 
•	Recolector de aceite
•	Kit de limpieza
•	Selladores y retenedores
•	Llaves de boca y llaves de cubo"
,,Bomba de aire y sistema de lubricación,Semestral,Inspecciones generales de la bomba y verificar acople de transmisión con el motor  (Verificar temperatura y parámetros eléctricos)  ,"•	Equipo de protección 
•	Osciloscopio
•	Megóhmetro
•	Multimetro
•	Cámara térmica
•	Equipo de calibración
•	Llaves y llaves de tubo
•	Kit de Destornilladores
•	Decibelímetro
•	Extractores de rodamientos y poleas
•	Juntas y selladores"
,,Bomba de aire y sistema de lubricación,Semestral,"Mantenimiento de los rodamientos (Lubricación y si es necesario cambio de rodamientos, sellos, retenedores, O-rings)  ","•	Equipo de protección 
•	Grasa para rodamientos Chevron® SRI NLGI grado 2. o sus equivalentes
•	Kit de limpieza
•	Kit de Destornilladores
•	Cámara termográfica, Equipo de calibración 
•	Extractores de rodamientos"
,,Bomba de aire y sistema de lubricación,Semestral,Remplazar filtro de aceite lubricante y serpentín de refrigeración,"•	Equipo de protección 
•	Aceite lubricante
•	Recolector de aceite
•	Kit de limpieza
•	Sellador
•	Llaves de boca y llaves de cubo
•	Nuevo Filtro de aceite
•	Serpentín de refrigeración"
