0,1,2,3,4,5
,,Sistema de motor diésel,Anualmente,"Reemplazar los filtros de agua, de aceite, de combustible","•	Equipo de protección 
•	Recolector de aceite
•	Kit de limpieza
•	Selladores
•	Llaves de boca y llaves de cubo
•	Racores de latón
•	Kit de Destornilladores 
•	Roscas del racor de latón
•	Piezas de repuesto originales de los filtros de agua, de aceite, de combustible"
,,Sistema de motor diésel,Anualmente,Inspección visual en el Tanque de Combustible para detectar si hay presencia de agua y materiales extraños,"•	Equipo de protección 
•	Inspección visual en busca de agua y materiales extraños
•	Kit de limpieza
•	Llaves de boca y llaves de cubo"
,,Sistema de motor diésel,Anualmente,"Dar mantenimiento al impulsor del motor (Verificar y lubricar rodamientos del motor, revisar sistema de engranajes de ángulo recto y los acoplamientos de transmisión)","•	Equipo de protección 
•	Grasa NLGI grado 2 o sus equivalentes
•	Inspección visual en busca de daños
•	Extractores de rodamientos 
•	Cámara térmica
•	Equipo de calibración
•	Llaves de boca y llaves de cubo
•	Kit de Destornilladores
•	Kit de limpieza, removedor de corrosivos"
,,Caseta/cuarto de bomba,Semanal,"Inspeccionar que el calor es adecuado, no menor de 4°C para el cuarto de bombas con bombas accionadas por motor diésel con calentadores de motor.","•	Equipo de protección 
•	Inspección visual en busca de daños
•	Cámara térmica
•	Equipo de calibración"
,,Caseta/cuarto de bomba,Semanal,Inspeccionar y limpiar excesos de agua en el piso.,"•	Equipo de protección 
•	Inspección visual en busca materiales extraños
•	Kit de limpieza
•	Utensilios de limpieza"
,,Caseta/cuarto de bomba,Semanal,Revisar que la protección de acoplamientos sea la adecuada.,"•	Equipo de protección 
•	Llevar un formato de revisión de rutinas y base de datos
•	Inspección visual en busca de daños"
,,Sistema de bombas contra incendio,Semanal,"Inspeccionar que las válvulas de succión, de descarga y derivación de la bomba están totalmente abiertas.","•	Equipo de protección 
•	Inspección visual
•	Llevar un formato de revisión de rutinas y base de datos"
,,Sistema de bombas contra incendio,Semanal,Inspeccionar que  la lectura del manómetro de la línea de succión está dentro del rango aceptable.,"•	Equipo de protección 
•	Inspección visual
•	Llevar un formato de revisión de rutinas y base de datos"
,,Sistema de bombas contra incendio,Semanal,Inspeccionar que  la lectura del manómetro de la línea del sistema está dentro del rango aceptable.,"•	Equipo de protección 
•	Inspección visual
•	Llevar un formato de revisión de rutinas y base de datos"
,,Sistema de bombas contra incendio,Semanal,Inspeccionar que el reservorio de succión tiene el nivel de agua requerido,"•	Equipo de protección 
•	Inspección visual de nivel de agua
•	Llevar un formato de revisión de rutinas y base de datos"
,,Sistema de bombas contra incendio,Anualmente,Inspeccionar que las rejillas de succión de pozo húmedo no presente obtrucciones y estan debidamente colocadas,"•	Equipo de protección 
•	Inspección visual en busca de obtrucciones
•	Llevar un formato de revisión de rutinas y base de datos"
,,Sistema de bombas contra incendio,Anualmente,Verificar alineación paralela y angular de la bomba y del impulsor,"•	Equipo de protección 
•	Inspección visual en busca de daños 
•	Llaves y llaves de tubo
•	Mazo
•	Equipo de calibración"
,,Sistema de bombas contra incendio,Anualmente,Inspeccionar el movimiento u holgura longitudinal de los ejes durante el funcionamiento,"•	Equipo de protección 
•	Inspección visual 
•	Llevar un formato de revisión de rutinas y base de datos"
,,Sistema de bombas contra incendio,Anualmente,"Realizar pruebas de desempeño para verificar el funcionamiento de las bombas con 0% flujo, 100% del flujo nominal y el 150% de flujo","•	Equipo de protección 
•	Inspección visual 
•	Llevar un formato de revisión de rutinas y base de datos"
,,Sistema de bombas contra incendio,Anualmente,"Calibrar Manómetros para tener una un presicion del +/- 1% y medidores de flujo para tener una un presicion del +/- 3%, verificar funcionamiento del transductores y otros dispositivos usados para las pruebas.","•	Equipo de protección 
•	Inspección visual en busca de daños 
•	Equipo de calibración
•	Llaves de boca y llaves de cubo
•	Kit de Destornilladores
•	Kit de limpieza"
,,Sistema de bombas contra incendio,Anualmente,"Dar mantenimiento al impulsor de la bomba (Verificar y lubricar rodamientos del motor, revisar sistema de engranajes de ángulo recto y los acoplamientos de transmisión)","•	Equipo de protección 
•	Grasa NLGI grado 2 o sus equivalentes
•	Inspección visual en busca de daños
•	Extractores de rodamientos 
•	Cámara térmica
•	Equipo de calibración
•	Llaves de boca y llaves de cubo
•	Kit de Destornilladores
•	Kit de limpieza, removedor de corrosivos"
,,Sistema de bombas contra incendio,Cada 5 años,"Reemplazar los componenetes de transmisión de energia que se usan en el impulsor de la bombas, tales como acoples de torsión, Jockey, Válvula de alivio de circulación, acoplamientos del eje, Sensores o indicadores de alarma, tuberías y valvulas de alivio de la bomba, Rodamientos, O-Rings, Empaques y Sellos","•	Equipo de protección 
•	Inspección visual en busca de daños
•	Extractores de rodamientos 
•	Kit de repuestos y componente de cambio para el Impulsor de la bomba
•	Equipo de calibración
•	Llaves de boca y llaves de cubo
•	Selladores, Retenedores
•	Kit de Destornilladores
•	Kit de limpieza, removedor de corrosivos"
,,Sistema eléctrico/ Controlador,Semanal,Inspeccionar que la luz del piloto del controlador (encendido) está iluminada.,"•	Equipo de protección 
•	Inspección visual 
•	Llevar un formato de revisión de rutinas y base de datos"
,,Sistema eléctrico/ Controlador,Semanal,Inspeccionar que la luz normal del piloto del interruptor de transferencia está iluminada.,"•	Equipo de protección 
•	Inspección visual 
•	Llevar un formato de revisión de rutinas y base de datos"
,,Sistema eléctrico/ Controlador,Semanal,Inspeccionar que el interruptor de aislamiento está cerrado — fuente de reserva (de emergencia).,"•	Equipo de protección 
•	Inspección visual 
•	Llevar un formato de revisión de rutinas y base de datos"
,,Sistema eléctrico/ Controlador,Semanal,Inspeccionar que la luz del piloto de la alarma de fase inversa está apagada o la luz del piloto de rotación de fase normal está apagada.,"•	Equipo de protección 
•	Inspección visual 
•	Llevar un formato de revisión de rutinas y base de datos"
,,Sistema eléctrico/ Controlador,Semanal,Inspeccionar que el nivel de aceite del visor de vidrio del motor vertical está dentro del rango aceptable.,"•	Equipo de protección 
•	Inspección visual en el nivel de aceite
•	Llevar un formato de revisión de rutinas y base de datos"
,,Sistema eléctrico/ Controlador,Semanal,Inspeccionar que se abastece de energía a la bomba de mantenimiento de presión (jockey).,"•	Equipo de protección 
•	Megóhmetro
•	Multimetro
•	Cámara térmica
•	Equipo de calibración
•	Llaves de boca y llaves de cubo
•	Kit de Destornilladores
•	Llevar un formato de revisión de rutinas y base de datos"
,,Sistema eléctrico/ Controlador,Anualmente,"Comprobar el estado y la seguridad del cableado y de las conexiones eléctricas (Medir tensión, corriente y medir aislamiento)","•	Equipo de protección 
•	Cámara termográfica
•	Equipo de calibración
•	Selladores dieléctricos
•	Kit de Destornilladores
•	Pinzas, Alicates y Tenazas
•	Megóhmetro
•	Multimetro
•	Llaves de cubo"
,,Sistema eléctrico/ Controlador,Anualmente,Inspeccionar que las placas de circuitos (PCB) no preseten corrosión,"•	Equipo de protección 
•	Inspección visual en busca de corrosión
•	Aire comprimido
•	Alicates y tenazas
•	Kit de limpieza
•	Kit de Destornilladores"
,,Sistema eléctrico/ Controlador,Anualmente,"Verificar funcionamiento del controlador electrónico del manejo de combustible, el modulo de control electrónico de respaldo y los sensores principales y redundantes del modulo","•	Equipo de protección 
•	Cámara termica
•	Equipo de calibración
•	Selladores dieléctricos
•	Kit de Destornilladores
•	Pinzas, Tenazas y Alicates
•	Multímetro
•	Megóhmetro
•	Llaves dinamométricas"
,,Sistema eléctrico/ Controlador,Anualmente,Verificar estado y condición de los ánodos de sacrificio y reemplazar si es necesario,"•	Equipo de protección 
•	Inspección visual en busca de daño
•	Alicates y tenazas
•	Kit de limpieza
•	Kit de Destornilladores"
,,"Sistema de tuberias, válvulas y mangueras",Semanal,Inspeccionar que las válvulas de las pruebas de flujo de agua están en la posición de cerradas,"•	Equipo de protección 
•	Inspección visual 
•	Llevar un formato de revisión de rutinas y base de datos"
,,"Sistema de tuberias, válvulas y mangueras",Semanal,Inspeccionar que la válvula de la conexión de la manguera está cerrada y la linea hacia las válvulas de prueba no contenga agua,"•	Equipo de protección 
•	Inspección visual 
•	Llevar un formato de revisión de rutinas y base de datos"
,,"Sistema de tuberias, válvulas y mangueras",Semanal,Revisar que las tuberías no presenten fugas.,"•	Equipo de protección 
•	Cámara acústica o Manómetro 
•	Abrazaderas y Selladores
•	Llaves y llaves de tubo
•	Inspección visual en busca de fugas"
,,"Sistema de tuberias, válvulas y mangueras",Anualmente,Realizar pruebas para verificar funcionamiento de la Válvula de alivio de presión principal,"•	Equipo de protección
•	Llevar un formato de revisión de rutinas y base de datos
•	Kit de Limpieza
•	Kit de Destornillador"
,,"Sistema de tuberias, válvulas y mangueras",Anualmente,Comprobar el estado y la seguridad de las conexiones de las mangueras.,"•	Equipo de protección 
•	Cámara acústica o Manómetro 
•	Abrazaderas y Selladores
•	Llaves y llaves de tubo"
,,"Sistema de tuberias, válvulas y mangueras",Anualmente,Comprobar el estado y la seguridad de las conexiones de las tuberías y tuberías de rebose.,"•	Equipo de protección 
•	Inspección visual en busca de daños 
•	Kit de limpieza
•	Kit de Destornilladores 
•	Llaves y llaves de tubo"
,,Sistema de Vapor,Semanal,Inspeccionar que  la lectura del manómetro del vapor está dentro del rango aceptable.,"•	Equipo de protección 
•	Inspección visual 
•	Llevar un formato de revisión de rutinas y base de datos"
,,Sistema de Vapor,Anualmente,Realizar mantenimiento a la Turbina de vapor para verificar que funcione correctamente,"•	Equipo de protección 
•	Inspección visual 
•	Llevar un formato de revisión de rutinas y base de datos 
•	Cámara térmica
•	Equipo de calibración
•	Llaves de boca y llaves de cubo
•	Kit de Destornilladores
•	Kit de limpieza"
